episode,steps,totalEnvironmentReward,totalIntrinsicReward,totalLearningReward,epsilon,completed,died
1,400,-3.9999999999999587,0.12578596655456128,-3.8742140334453974,1.0,False,False
2,400,-3.9999999999999587,0.16104286391614445,-3.838957136083814,0.9996481481481482,False,False
3,400,-3.9999999999999587,0.1499297034670847,-3.850070296532874,0.9992962962962963,False,False
4,400,-3.9999999999999587,0.16609336097915467,-3.833906639020804,0.9989444444444444,False,False
5,400,-3.9999999999999587,0.138544967918531,-3.8614550320814276,0.9985925925925926,False,False
6,400,-3.9999999999999587,0.12280367594787271,-3.877196324052086,0.9982407407407408,False,False
7,400,-3.9999999999999587,0.1691661347601415,-3.8308338652398173,0.9978888888888889,False,False
8,400,-3.9999999999999587,0.1367888364947023,-3.863211163505256,0.997537037037037,False,False
9,400,-3.9999999999999587,0.1143349148195875,-3.885665085180371,0.9971851851851852,False,False
10,400,-3.9999999999999587,0.09720050227543109,-3.9027994977245277,0.9968333333333333,False,False
11,400,-3.9999999999999587,0.09527636373837346,-3.9047236362615854,0.9964814814814815,False,False
12,400,-3.9999999999999587,0.09653017620784025,-3.9034698237921184,0.9961296296296296,False,False
13,400,-3.9999999999999587,0.13247553092157818,-3.8675244690783805,0.9957777777777778,False,False
14,400,-3.9999999999999587,0.13866188392949558,-3.861338116070463,0.9954259259259259,False,False
15,400,-3.9999999999999587,0.12971316258662688,-3.8702868374133317,0.9950740740740741,False,False
16,400,-3.9999999999999587,0.16586863571054314,-3.8341313642894157,0.9947222222222222,False,False
17,400,-3.9999999999999587,0.16102913976682665,-3.838970860233132,0.9943703703703703,False,False
18,400,-3.9999999999999587,0.12076533044292306,-3.8792346695570354,0.9940185185185185,False,False
19,400,-3.9999999999999587,0.08464683274966406,-3.9153531672502946,0.9936666666666667,False,False
20,400,-3.9999999999999587,0.16167148647915425,-3.8383285135208043,0.9933148148148148,False,False
21,400,-3.9999999999999587,0.10367799339179613,-3.8963220066081625,0.9929629629629629,False,False
22,400,-3.9999999999999587,0.16226674068159339,-3.8377332593183655,0.9926111111111111,False,False
23,400,-3.9999999999999587,0.13942555377589982,-3.8605744462240588,0.9922592592592593,False,False
24,400,-3.9999999999999587,0.13262067398981134,-3.8673793260101474,0.9919074074074075,False,False
25,400,-3.9999999999999587,0.12496026620939636,-3.875039733790562,0.9915555555555555,False,False
26,400,-3.9999999999999587,0.13024941558745448,-3.8697505844125044,0.9912037037037037,False,False
27,400,-3.9999999999999587,0.12931798340251607,-3.8706820165974425,0.9908518518518519,False,False
28,400,-3.9999999999999587,0.13746589193546166,-3.862534108064497,0.9905,False,False
29,400,-3.9999999999999587,0.12868452351607662,-3.871315476483882,0.9901481481481481,False,False
30,400,-3.9999999999999587,0.11111799898992196,-3.8888820010100367,0.9897962962962963,False,False
31,400,-3.9999999999999587,0.11798864233846221,-3.8820113576614963,0.9894444444444445,False,False
32,400,-3.9999999999999587,0.11732840238084724,-3.8826715976191113,0.9890925925925926,False,False
33,400,-3.9999999999999587,0.11080253904191516,-3.8891974609580435,0.9887407407407407,False,False
34,400,-3.9999999999999587,0.09246823050790165,-3.9075317694920573,0.9883888888888889,False,False
35,400,-3.9999999999999587,0.1415993306005632,-3.8584006693993955,0.988037037037037,False,False
36,400,-3.9999999999999587,0.13129436419224083,-3.868705635807718,0.9876851851851852,False,False
37,400,-3.9999999999999587,0.12740790946337377,-3.872592090536585,0.9873333333333333,False,False
38,400,-3.9999999999999587,0.1176245389490773,-3.8823754610508816,0.9869814814814815,False,False
39,400,-3.9999999999999587,0.1545494960400372,-3.8454505039599214,0.9866296296296296,False,False
40,400,-3.9999999999999587,0.10028869655701395,-3.899711303442945,0.9862777777777778,False,False
41,400,-3.9999999999999587,0.14497252439802577,-3.8550274756019327,0.9859259259259259,False,False
42,400,-3.9999999999999587,0.14048652372099868,-3.85951347627896,0.985574074074074,False,False
43,400,-3.9999999999999587,0.1196647715432741,-3.8803352284566848,0.9852222222222222,False,False
44,400,-3.9999999999999587,0.11407437377914395,-3.8859256262208146,0.9848703703703704,False,False
45,400,-3.9999999999999587,0.1469866690884176,-3.853013330911541,0.9845185185185186,False,False
46,400,-3.9999999999999587,0.13599372952653813,-3.8640062704734204,0.9841666666666666,False,False
47,400,-3.9999999999999587,0.12368741083138626,-3.8763125891685726,0.9838148148148148,False,False
48,400,-3.9999999999999587,0.14611467610326115,-3.8538853238966975,0.983462962962963,False,False
49,400,-3.9999999999999587,0.11686785268349269,-3.883132147316466,0.9831111111111112,False,False
50,400,-3.9999999999999587,0.1371219449049143,-3.8628780550950443,0.9827592592592592,False,False
51,400,-3.9999999999999587,0.15137048530871838,-3.84862951469124,0.9824074074074074,False,False
52,400,-3.9999999999999587,0.1077712940608435,-3.8922287059391154,0.9820555555555556,False,False
53,400,-3.9999999999999587,0.12413985125746861,-3.87586014874249,0.9817037037037037,False,False
54,400,-3.9999999999999587,0.14716429011634444,-3.8528357098836143,0.9813518518518518,False,False
55,400,-3.9999999999999587,0.12535289400687394,-3.874647105993085,0.981,False,False
56,400,-3.9999999999999587,0.18236749358961976,-3.817632506410339,0.9806481481481482,False,False
57,400,-3.9999999999999587,0.1468693932374738,-3.853130606762485,0.9802962962962963,False,False
58,400,-3.9999999999999587,0.1618394534828485,-3.83816054651711,0.9799444444444444,False,False
59,400,-3.9999999999999587,0.12629829719845106,-3.8737017028015077,0.9795925925925926,False,False
60,400,-3.9999999999999587,0.11522415581116806,-3.8847758441887907,0.9792407407407407,False,False
61,400,-3.9999999999999587,0.11685789813561571,-3.883142101864343,0.9788888888888889,False,False
62,400,-3.9999999999999587,0.1280384730288977,-3.871961526971061,0.978537037037037,False,False
63,400,-3.9999999999999587,0.1378889322985335,-3.8621110677014254,0.9781851851851852,False,False
64,400,-3.9999999999999587,0.1436255922889437,-3.856374407711015,0.9778333333333333,False,False
65,400,-3.9999999999999587,0.1325747018512049,-3.8674252981487536,0.9774814814814815,False,False
66,400,-3.9999999999999587,0.1351723007377292,-3.8648276992622295,0.9771296296296297,False,False
67,400,-3.9999999999999587,0.12979619229501235,-3.8702038077049465,0.9767777777777777,False,False
68,400,-3.9999999999999587,0.14605484206523892,-3.85394515793472,0.9764259259259259,False,False
69,400,-3.9999999999999587,0.14307786924989094,-3.8569221307500676,0.9760740740740741,False,False
70,400,-3.9999999999999587,0.13468252758402016,-3.8653174724159385,0.9757222222222223,False,False
71,400,-3.9999999999999587,0.1685729148945545,-3.831427085105404,0.9753703703703703,False,False
